Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 33.33      0.01     0.01   143982     0.07     0.07  NSEOF::ScalarField::getScalar(int, int, int)
 33.33      0.02     0.01    18942     0.53     0.53  NSEOF::Stencils::FGHStencil::apply(NSEOF::FlowField&, int, int)
 33.33      0.03     0.01                             NSEOF::Simulation::solveTimestep()
  0.00      0.03     0.00   435780     0.00     0.00  NSEOF::VectorField::getVector(int, int, int)
  0.00      0.03     0.00   302450     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int) const
  0.00      0.03     0.00   299134     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int) const
  0.00      0.03     0.00   251966     0.00     0.00  NSEOF::FlowField::getVelocity()
  0.00      0.03     0.00   133906     0.00     0.00  NSEOF::FlowField::getFGH()
  0.00      0.03     0.00    70959     0.00     0.00  NSEOF::IntScalarField::getValue(int, int, int)
  0.00      0.03     0.00    70930     0.00     0.00  NSEOF::FlowField::getPressure()
  0.00      0.03     0.00    38313     0.00     0.00  NSEOF::FlowField::getFlags()
  0.00      0.03     0.00    19404     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int, int) const
  0.00      0.03     0.00    19024     0.00     0.00  NSEOF::FlowField::getRHS()
  0.00      0.03     0.00    18942     0.00     0.07  NSEOF::Stencils::RHSStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00    18942     0.00     0.00  NSEOF::Stencils::MaxUStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00    18942     0.00     0.00  NSEOF::Stencils::ObstacleStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00    18942     0.00     0.26  NSEOF::Stencils::VelocityStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00    16800     0.00     0.07  NSEOF::Stencils::VTKStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00    16800     0.00     0.07  NSEOF::FlowField::getPressureAndVelocity(double&, double*, int, int)
  0.00      0.03     0.00    15067     0.00     0.00  NSEOF::FlowField::getCellsY() const
  0.00      0.03     0.00    12597     0.00     0.00  NSEOF::FlowField::getCellsX() const
  0.00      0.03     0.00     3985     0.00     0.00  NSEOF::UniformMeshsize::getPosY(int, int) const
  0.00      0.03     0.00     1886     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1886     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyRightWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1826     0.00     0.00  NSEOF::Stencils::BFInputVelocityStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1826     0.00     0.00  NSEOF::Stencils::NeumannVelocityBoundaryStencil::applyRightWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1804     0.00     0.00  NSEOF::Stencils::BFInputFGHStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1804     0.00     0.00  NSEOF::Stencils::NeumannFGHBoundaryStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1764     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int, int) const
  0.00      0.03     0.00     1066     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.03     0.00     1066     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyBottomWall(NSEOF::FlowField&, int, int)
