Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01    18711     0.53     0.53  NSEOF::Stencils::FGHStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00   433399     0.00     0.00  NSEOF::VectorField::getVector(int, int, int)
  0.00      0.01     0.00   302659     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int) const
  0.00      0.01     0.00   299067     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int) const
  0.00      0.01     0.00   248896     0.00     0.00  NSEOF::FlowField::getVelocity()
  0.00      0.01     0.00   147739     0.00     0.00  NSEOF::ScalarField::getScalar(int, int, int)
  0.00      0.01     0.00   134703     0.00     0.00  NSEOF::FlowField::getFGH()
  0.00      0.01     0.00    74925     0.00     0.00  NSEOF::FlowField::getPressure()
  0.00      0.01     0.00    70022     0.00     0.00  NSEOF::IntScalarField::getValue(int, int, int)
  0.00      0.01     0.00    37849     0.00     0.00  NSEOF::FlowField::getFlags()
  0.00      0.01     0.00    19173     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int, int) const
  0.00      0.01     0.00    18792     0.00     0.00  NSEOF::FlowField::getRHS()
  0.00      0.01     0.00    18711     0.00     0.00  NSEOF::Stencils::RHSStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00    18711     0.00     0.00  NSEOF::Stencils::MaxUStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00    18711     0.00     0.00  NSEOF::Stencils::ObstacleStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00    18711     0.00     0.00  NSEOF::Stencils::VelocityStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00    16600     0.00     0.00  NSEOF::Stencils::VTKStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00    16600     0.00     0.00  NSEOF::FlowField::getPressureAndVelocity(double&, double*, int, int)
  0.00      0.01     0.00    14884     0.00     0.00  NSEOF::FlowField::getCellsY() const
  0.00      0.01     0.00    12444     0.00     0.00  NSEOF::FlowField::getCellsX() const
  0.00      0.01     0.00     3936     0.00     0.00  NSEOF::UniformMeshsize::getPosY(int, int) const
  0.00      0.01     0.00     1863     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1863     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyRightWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1804     0.00     0.00  NSEOF::Stencils::BFInputVelocityStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1804     0.00     0.00  NSEOF::Stencils::NeumannVelocityBoundaryStencil::applyRightWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1782     0.00     0.00  NSEOF::Stencils::BFInputFGHStencil::applyLeftWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1782     0.00     0.00  NSEOF::Stencils::NeumannFGHBoundaryStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1743     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int, int) const
  0.00      0.01     0.00     1053     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00     1053     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyBottomWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      984     0.00     0.00  NSEOF::Stencils::MovingWallVelocityStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      984     0.00     0.00  NSEOF::Stencils::MovingWallVelocityStencil::applyBottomWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      972     0.00     0.00  NSEOF::Stencils::MovingWallFGHStencil::applyTopWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      972     0.00     0.00  NSEOF::Stencils::MovingWallFGHStencil::applyBottomWall(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      747     0.00     0.00  void std::vector<double*, std::allocator<double*> >::_M_realloc_insert<double* const&>(__gnu_cxx::__normal_iterator<double**, std::vector<double*, std::allocator<double*> > >, double* const&)
  0.00      0.01     0.00      747     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      0.01     0.00      489     0.00    20.45  NSEOF::FieldIterator<NSEOF::FlowField>::iterate()
  0.00      0.01     0.00      489     0.00     0.00  NSEOF::FlowField::getCellsZ() const
  0.00      0.01     0.00      347     0.00     0.00  NSEOF::UniformMeshsize::getPosX(int, int) const
  0.00      0.01     0.00      334     0.00     0.00  tinyxml2::StrPair::GetStr()
  0.00      0.01     0.00      264     0.00     0.00  NSEOF::Stencils::BFStepInitStencil::apply(NSEOF::FlowField&, int, int)
  0.00      0.01     0.00      243     0.00     0.00  NSEOF::Stencils::MaxUStencil::getMaxValues() const
  0.00      0.01     0.00      220     0.00     0.00  tinyxml2::XMLElement::ToElement()
  0.00      0.01     0.00      163     0.00     0.00  NSEOF::GlobalBoundaryIterator<NSEOF::FlowField>::iterate()
  0.00      0.01     0.00      162     0.00     0.00  NSEOF::UniformMeshsize::getDxMin() const
  0.00      0.01     0.00      162     0.00     0.00  NSEOF::UniformMeshsize::getDyMin() const
  0.00      0.01     0.00       83     0.00     0.00  NSEOF::Stencils::VTKStencil::setFirstCorner_(int, int, int)
  0.00      0.01     0.00       83     0.00     0.00  NSEOF::Stencils::VTKStencil::writePositions_(_IO_FILE*)
  0.00      0.01     0.00       83     0.00     0.00  NSEOF::Stencils::VTKStencil::write(int)
  0.00      0.01     0.00       83     0.00     0.00  NSEOF::Stencils::VTKStencil::VTKStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00       83     0.00     0.00  NSEOF::UniformMeshsize::getDz(int, int, int) const
  0.00      0.01     0.00       82     0.00     0.00  tinyxml2::XMLComment::ParseDeep(char*, tinyxml2::StrPair*)
  0.00      0.01     0.00       81     0.00    20.45  NSEOF::Simulation::setTimeStep()
  0.00      0.01     0.00       81     0.00     0.00  NSEOF::Solvers::PetscSolver::solve()
  0.00      0.01     0.00       81     0.00     0.00  NSEOF::Stencils::MaxUStencil::reset()
  0.00      0.01     0.00       50     0.00     0.00  tinyxml2::XMLNode::DeleteChildren()
  0.00      0.01     0.00       47     0.00     0.00  tinyxml2::XMLDocument::Identify(char*, tinyxml2::XMLNode**)
  0.00      0.01     0.00       44     0.00     0.00  tinyxml2::XMLNode::FirstChildElement(char const*) const
  0.00      0.01     0.00       41     0.00     0.00  tinyxml2::XMLAttribute::ParseDeep(char*, bool)
  0.00      0.01     0.00       41     0.00     0.00  tinyxml2::XMLNode::~XMLNode()
  0.00      0.01     0.00       41     0.00     0.00  tinyxml2::MemPoolT<72>::Free(void*)
  0.00      0.01     0.00       40     0.00     0.00  tinyxml2::XMLElement::ParseAttributes(char*)
  0.00      0.01     0.00       40     0.00     0.00  tinyxml2::XMLElement::ParseDeep(char*, tinyxml2::StrPair*)
  0.00      0.01     0.00       40     0.00     0.00  tinyxml2::XMLElement::~XMLElement()
  0.00      0.01     0.00       40     0.00     0.00  tinyxml2::MemPoolT<104>::SetTracked()
  0.00      0.01     0.00       40     0.00     0.00  tinyxml2::MemPoolT<104>::Free(void*)
  0.00      0.01     0.00       39     0.00     0.00  tinyxml2::XMLElement::FindAttribute(char const*) const
  0.00      0.01     0.00       31     0.00     0.00  tinyxml2::XMLAttribute::QueryDoubleValue(double*) const
  0.00      0.01     0.00       24     0.00     0.00  tinyxml2::XMLNode::ToElement()
  0.00      0.01     0.00       16     0.00     0.00  tinyxml2::XMLText::ToText() const
  0.00      0.01     0.00        8     0.00     0.00  tinyxml2::XMLElement::GetText() const
  0.00      0.01     0.00        7     0.00     0.00  tinyxml2::XMLAttribute::QueryIntValue(int*) const
  0.00      0.01     0.00        6     0.00     0.00  NSEOF::readWall(tinyxml2::XMLElement*, double*, double&)
  0.00      0.01     0.00        4     0.00     0.00  NSEOF::readStringMandatory(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, tinyxml2::XMLElement*)
  0.00      0.01     0.00        4     0.00     0.00  tinyxml2::XMLText::ParseDeep(char*, tinyxml2::StrPair*)
  0.00      0.01     0.00        4     0.00     0.00  tinyxml2::XMLText::~XMLText()
  0.00      0.01     0.00        4     0.00     0.00  tinyxml2::MemPoolT<96>::SetTracked()
  0.00      0.01     0.00        4     0.00     0.00  tinyxml2::MemPoolT<96>::Free(void*)
  0.00      0.01     0.00        3     0.00     0.00  NSEOF::broadcastString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, ompi_communicator_t* const&, int)
  0.00      0.01     0.00        2     0.00     0.00  NSEOF::ScalarField::ScalarField(int, int)
  0.00      0.01     0.00        2     0.00     0.00  NSEOF::VectorField::VectorField(int, int)
  0.00      0.01     0.00        2     0.00     0.00  tinyxml2::MemPoolT<88>::SetTracked()
  0.00      0.01     0.00        2     0.00     0.00  tinyxml2::MemPoolT<88>::Free(void*)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::IntScalarField::IntScalarField(int, int)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::UniformMeshsize::UniformMeshsize(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::UniformMeshsize::~UniformMeshsize()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::ParallelManagers::PetscParallelConfiguration::computeSizes()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::ParallelManagers::PetscParallelConfiguration::locateNeighbors()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::GlobalBoundaryFactory::getGlobalBoundaryFGHIterator(NSEOF::FlowField&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::GlobalBoundaryFactory::getGlobalBoundaryVelocityIterator(NSEOF::FlowField&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::GlobalBoundaryFactory::GlobalBoundaryFactory(NSEOF::Parameters&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::GlobalBoundaryFactory::~GlobalBoundaryFactory()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Solvers::PetscSolver::PetscSolver(NSEOF::FlowField&, NSEOF::Parameters&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Solvers::LinearSolver::LinearSolver(NSEOF::FlowField&, NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Solvers::createLimits(NSEOF::Parameters&, _p_DM*&, int*, int*, int*)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::FGHStencil::FGHStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::RHSStencil::RHSStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::MaxUStencil::MaxUStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::ObstacleStencil::ObstacleStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::VelocityStencil::VelocityStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::BFInputFGHStencil::BFInputFGHStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::BFInputFGHStencil::~BFInputFGHStencil()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::BFStepInitStencil::BFStepInitStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::MovingWallFGHStencil::MovingWallFGHStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::MovingWallFGHStencil::~MovingWallFGHStencil()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::BFInputVelocityStencil::BFInputVelocityStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::BFInputVelocityStencil::~BFInputVelocityStencil()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::MovingWallVelocityStencil::MovingWallVelocityStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::MovingWallVelocityStencil::~MovingWallVelocityStencil()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::NeumannFGHBoundaryStencil::NeumannFGHBoundaryStencil(NSEOF::Parameters const&)
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::NeumannFGHBoundaryStencil::~NeumannFGHBoundaryStencil()
  0.00      0.01     0.00        1     0.00     0.00  NSEOF::Stencils::PeriodicBoundaryFGHStencil::PeriodicBoundaryFGHStencil(NSEOF::Parameters const&)
